"101","100","2012-04-24","32.55305","35.62482","32.55828","35.62522","","32.55368","3233.221","","Good","Lithic scatter on a ridge with considerable evidence for knapping the high-quality flint nodules that are embedded in the local limestone.Surveyed by 6 people1 red cooking-pot handle (probably BYZ)Probable Epipalaeolithic lithicsProbably Middle/Late Palaeolithic lithics","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters (Unexcavated)","","4999 - No Legal Violations Observed4001 - Attach Notice to Antiquities","","Unknown","9004 - Paleolithic, Unspecified9005 - Epipalaeolithic9049 - Byzantine, Unspecified","","","KAJ - Abu Jayyab","2999 - No Threats Observed","1005 - Hilltop",""
"105","","2012-04-26","32.55836","35.62296","32.55894","35.62276","32.55884","35.62339","32.55841","35.62355","Poor","","2304 - Looting/Theft","408 - Cemetery","WGS 84","4007 - Illegal Excavation","Low","Unknown","9046 - Roman, Unspecified","Low","","EBB - Banning","2304 - Looting/Theft","1011 - Slope",""
"103","102","2012-04-26","32.55662","35.61884","32.55664","35.61859","32.55636","35.61861","32.55622","35.61838","Good","a lithic scatter on top of a knoll at the top of transect 10253. flakes and debitage are scattered across exposed bedrock and sparse veg at a density of about 5-15 pieces per m square. there is also a potential cave on top of the knoll.boundary was estimated and lat long was taken, but wps were not saved in gps","2104 - Grazing","901 - Sherd/Flint Surface Scatters (Unexcavated)","WGS 84","4999 - No Legal Violations Observed4001 - Attach Notice to Antiquities","Low","Unknown","9004 - Paleolithic, Unspecified9999 - Unspecified/Unknown Period","Low","","BAL - Letham","2999 - No Threats Observed","1005 - Hilltop","10253"
"108","128","2012-04-28","32.55558","3562219","32.55547","35.62196","32.55595","35.62144","32.55693","35.62156","Fair","Quite a lot of Roman pottery on the surface, along with some cut architectural limestone (door jamb etc.), basalt olive press/milling equipment, likely cistern","2201 - Bulldozing","514 - Settlement, No Fortifications (Village)","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9046 - Roman, Unspecified9049 - Byzantine, Unspecified","Medium","","EBB - Banning","2999 - No Threats Observed","1012 - Terrace",""
"110","126","2012-04-28","32.55633","35.62281","32.55609","35.62282","32.55596","35.62266","32.55612","35.62255","Good","","2103 - Fruit/Olive Grove","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Medium","Unknown","9012 - Neolithic, Pottery9015 - Neolithic, Unspecified9005 - Epipalaeolithic","Low","","KAJ - Abu Jayyab","2999 - No Threats Observed","1012 - Terrace",""
"112","111","2012-04-29","32.5574","35.62671","32.55738","35.62687","32.55743","35.6268","32.55751","35.627","Good","Possibly Epipalaeolithic lithics eroding out of terrace","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","","Unknown","9005 - Epipalaeolithic9035 - Iron Age, Unspecified","","","","2999 - No Threats Observed","","10493"
"113","114","2012-04-29","32.55745","35.62812","32.55752","35.62818","32.55759","35.62791","","","Good","","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Medium","Unknown","9002 - Paleolithic, Middle","Zero","","PB - Bikoulis","2999 - No Threats Observed","1012 - Terrace","10502"
"115","100","2012-04-29","32.55764","35.62271","32.55778","35.62288","32.55792","35.62268","32.55795","35.62286","Poor","Probable former tell has been bulldozed into two terracesTell appears to be Iron Age, but alluvium in cut at wp 1098 at South edge of site.Almost complete basalt grinding stone and basalt pestle","2201 - Bulldozing","101 - Tall/Tell","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9035 - Iron Age, Unspecified9010 - Neolithic, Pre-pottery B","Medium","","EBB - Banning","2201 - Bulldozing","1012 - Terrace","11040"
"117","118","2012-04-30","32.55693","35.63444","32.55675","35.63439","32.55674","35.6348","32.55684","35.63466","Fair","Largest basalt tool from segment 10673Appears to be a Yarmukian settlement cut by road bulldozing2 apparent stone wall foundations in bulldozer cutSmall limestone mortar (”transect” 10670)","2205 - Road Work","514 - Settlement, No Fortifications (Village)","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9013 - Neolithic, Pottery A","Medium","","EBB - Banning","2999 - No Threats Observed","1011 - Slope","1065210662106631067010673"
"102","102","2012-04-26","32.55453","35.61714","32.55462","35.61718","32.5546","35.61722","32.55453","35.61718","Good","-157 m aslStructure is 9 x 5 m in extent, with doorway to west, and built up against bedrock outcrop on southLikely caves some 10m to SW","2999 - No Threats Observed","810 - Isolated Structure/House","WGS 84","4999 - No Legal Violations Observed4001 - Attach Notice to Antiquities","Low","Private","","Low","","2011","2999 - No Threats Observed","1005 - Hilltop","10241"
"104","","2012-04-26","32.55844","35.62281","32.55911","3562254","32.55856","3562215","32.55826","35.62206","Poor","","2304 - Looting/Theft","408 - Cemetery","WGS 84","4007 - Illegal Excavation","Low","","9046 - Roman, Unspecified","Low","","EBB - Banning","2304 - Looting/Theft","1011 - Slope",""
"109","128","2012-04-28","32.55529","35.62223","32.55532","35.62207","32.55554","35.62222","","32.55554","Good","","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9004 - Paleolithic, Unspecified","Zero","","KAJ - Abu Jayyab","2999 - No Threats Observed","",""
"111","100","2012-04-28","32.552479","35.611463","32.552747","35.61045","32.55269","35.610867","32.552345","35.61045","Good","gps waypoints 3054.  30551072. 1071Disturbance from modern housing and road on top of tell","2398 - Other Human Impacts (Specify)","101 - Tall/Tell","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9035 - Iron Age, Unspecified9024 - Early Bronze, Unspecified","Medium","","EBB - Banning","2999 - No Threats Observed","1005 - Hilltop","10431"
"114","114","2012-04-29","32.5573","35.62788","32.55783","35.62785","32.55733","35.6279","","","Good","","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Medium","Unknown","9004 - Paleolithic, Unspecified9002 - Paleolithic, Middle","Zero","","PB - Bikoulis","2999 - No Threats Observed","1012 - Terrace","10531"
"116","","2012-04-30","32.55656","35.63626","32.55643","35.63628","","","","","Good","Site appears restricted to first segment of each transect, except perhaps along the road","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","","Unknown","","","","","2999 - No Threats Observed","",""
"118","100","2012-04-29","32.55702","35.63422","32.55689","36.63421","32.55702","35.63384","32.55716","35.63392","Fair","Continuation of site element 117","2205 - Road Work","514 - Settlement, No Fortifications (Village)","WGS 84","4999 - No Legal Violations Observed","","Unknown","9013 - Neolithic, Pottery A","","","EBB - Banning","2999 - No Threats Observed","1011 - Slope",""
"119","","2012-04-30","32.55753","35.63259","32.55743","35.63275","32.5573","35.63264","","","Poor","","2205 - Road Work","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","","Low","","BAL - Letham","2205 - Road Work","",""
"120","111","2012-05-01","32.55825","35.62603","32.55824","35.626","32.55818","35.62601","","","Good","Building 9.5 m x 4 m or more, L-shape visible at gully. Other likely walls too, built from large boulders ca 40 cm long","2999 - No Threats Observed","810 - Isolated Structure/House","WGS 84","4999 - No Legal Violations Observed","","Unknown","","","'Ain Quseiba","","2999 - No Threats Observed","1012 - Terrace",""
"121","111","2012-05-01","32.55825","35.62609","32.55802","35.62607","32.582","35.62581","32.558","35.62592","Good","Neolithic and possibleEpipal material coming from Colluvium cut by gully downslope from Site Element 120Probably a PPNB village site with an Epipalaeolithic component","2404 - Erosion, Water","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","","Unknown","","","'Ain Quseiba","","2999 - No Threats Observed","1011 - Slope","10910"
"106","","2012-05-02","32.55832","35.62365","32.55877","35.62355","32.55912","35.62455","32.55848","35.62475","Poor","Continuation of cemetery of site elements 104 and 105 (and 107), and probably of Roman date, although very few sherds seen, and not very diagnostic","2304 - Looting/Theft","408 - Cemetery","WGS 84","4007 - Illegal Excavation","Zero","Unknown","","Low","","EBB - Banning","2999 - No Threats Observed","1011 - Slope",""
"122","120","2012-05-04","32.55642","35.63718","32.55591","35.63768","32.55602","35.63872","32.55636","35.63791","Good","Very eroded and steep hill with two looter holes on top, not much remaining except small number of artifacts scattered down slopes and around the hill, but some are Chalcolithic See also Chalcolithic sherd found nearby at Waypoint 1132","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","","Unknown","9018 - Chalcolithic, Unspecified","","‘Ain at-Tur‘a","EBB - Banning","2999 - No Threats Observed","1005 - Hilltop","107911080210811"
"301","319","2012-05-05","32.545","35.65038","32.545","35.65038","","","","","Good","Wall 6 m long","2999 - No Threats Observed","201 - Agricultural Terrace","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","","Zero","","BAL - Letham","2999 - No Threats Observed","1012 - Terrace","30091"
"302","300","2012-05-05","32.55177","35.64104","32.55164","35.64073","32.55166","35.64124","32.55145","35.64139","Good","35.6406732.55153Possible structures of large boulders, possible Chalcolithic site. Few artifacts found, and mostly downslope where they could have eroded out of the eastern edge of this semi-circular terrace. Most of the site is probably covered by recent colluvium.","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9018 - Chalcolithic, Unspecified","Low","Wadi Khadra","EBB - Banning","2999 - No Threats Observed","1012 - Terrace",""
"303","300","2012-05-05","32.55385","35.64064","32.55393","35.64061","32.55401","35.64076","","","Good","Small lithic scatter with grinding stones, possibly Chalcolithic in age (see isolated find of Chalcolithic sherd in wadi below the site at transect 30320). ","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","","Unknown","","","Wadi Khadra","EBB - Banning","2999 - No Threats Observed","",""
"107","110","2012-05-01","32.55857","35.62477","32.55907","35.62489","32.55941","35.6255","32.55846","35.62571","Poor","Robbed cemetery above spring of 'ain QuseibaPossible bedrock mortars above spring at wp 1136This is also a continuation of cemetery at site elements 104, 105, 106, but less clearly of Roman date. Probably some of the tombs are of Roman age, but the very few sherds found point to the possibility of some earlier tombs as well, perhaps Iron Age.Above the spring of ‘Ain Quseiba, near one large tomb opening (or perhaps cistern), are two possible bedrock mortars.This site is also immediately adjacent to the Neolithic/Epipalaeolithic site of site elements 120 and 121.","2304 - Looting/Theft","408 - Cemetery","WGS 84","4007 - Illegal Excavation","","Unknown","","","","","2999 - No Threats Observed","1011 - Slope",""
"202","238","2012-05-07","32.56426","35.65267","32.56442","35.65282","","","","","Fair","wall continues for a long way  the slope to the west. upper part has fallen over but the foundation remains embedded in the soil. Ted has the east end coordinates.","2999 - No Threats Observed","833 - Wall, unspecified","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9999 - Unspecified/Unknown Period","Zero","","BAL - Letham","2999 - No Threats Observed","1012 - Terrace",""
"201","235","2012-05-07","32.56091","35.64975","32.5611","35.64978","32.56071","35.64922","32.5607","35.64912","Good","Top of hill is bordered by a wall of large bouldersCoordinate 4 is at the end of the wall and appears to corner with a wall heading south - perhaps a gate?","2999 - No Threats Observed","833 - Wall, unspecified","WGS 84","4999 - No Legal Violations Observed","","Unknown","9999 - Unspecified/Unknown Period","","","","2999 - No Threats Observed","1005 - Hilltop",""
"202","238","2012-05-07","32.56484","35.65333","32.56488","35.65356","","","","","Good","Large retaining wall of unknown date, but probably modern","2999 - No Threats Observed","833 - Wall, unspecified","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","9999 - Unspecified/Unknown Period","Zero","","BAL - Letham","2999 - No Threats Observed","1011 - Slope",""
