"0","2013-08-31","","","Plowed Olive/Fruit Grove","","0","","333","","","11","","","","PH - Hitchings","","1.5","32581","roman-byz ceramics predominantTesserae x1 (not collected)",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","","0","","333","","","0","","","","PH - Hitchings","","1.5","32582","End of 32581 because of row of prickly pears",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","","0","","333","","","3","","","","PH - Hitchings","","1.5","32711","",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","","0","","333","","","0","","","","PH - Hitchings","","1.5","32712","end of polygon 32711",""
"0","2013-08-31","","","Agricultural Field (fallow)","1","1","","333","","","2","","","","PH - Hitchings","","1","32781","",""
"0","2013-08-31","","","Agricultural Field (fallow)","1","0","","333","","","0","","","","PH - Hitchings","","1","32782","end of 32781",""
"0","2013-08-31","","","Agricultural Field (fallow)","1","0","","333","","","1","","","","PH - Hitchings","","1","32783","",""
"0","2013-08-31","","","Agricultural Field (fallow)","1","0","","333","","","0","","","","PH - Hitchings","","1","32784","end of 32783 at boundary wall",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","1","13","","335","","","14","","","","PH - Hitchings","KG - Gibbs","3","32821","Many possible neolithic sherds. mostly body sherds, with neolithic determination based mainly on fabric",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","1","7","","335","","","5","","","","PH - Hitchings","KG - Gibbs","3","32822","Density much lower than in previous transect",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","1","0","","335","","","0","","","","PH - Hitchings","KG - Gibbs","3","32824","end of 32823",""
"0","2013-08-31","","","Pasture","1","6","","346","","","0","","","","PH - Hitchings","",".5","32971","Robber pit at the beginning of transect",""
"0","2013-08-31","","","Pasture","1","0","","346","","","0","","","","PH - Hitchings","",".5","32972","end of 32971",""
"0","2013-08-31","","","Rubble with Sparse Vegetation","1","12","","346","","","1","","","","PH - Hitchings","",".5","33001","",""
"0","2013-08-31","","","Rubble with Sparse Vegetation","1","0","","346","","","0","","","","PH - Hitchings","",".5","33002","end of 33001",""
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","0","","333","","","1","","","32.542774","EBB - Banning","","1.5","32601","Rom/Byz body sherd","35.6729"
"0","2013-08-31","","","Plowed Olive/Fruit Grove","2","2","","333","","","0","","","","EBB - Banning","","1.5","32602","Rows of trees change orientation, so segment shifts to right slightlyflakes not collectedflat basalt frag",""
